time,level,run_status,error,tester_command,num_agents,max_num_timesteps,total_timesteps,ego_location,alt_location
2023-07-24_23-34-07,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-24_23-34-07/ppo_ego --alt-load model/partial-divider_salad/2023-07-24_23-34-07/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-24_23-34-07/ppo_ego,model/partial-divider_salad/2023-07-24_23-34-07/ppo_partner1
2023-07-24_23-38-13,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-24_23-38-13/ppo_ego --alt-load model/partial-divider_salad/2023-07-24_23-38-13/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-24_23-38-13/ppo_ego,model/partial-divider_salad/2023-07-24_23-38-13/ppo_partner1
2023-07-24_23-39-59,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-24_23-39-58/ppo_ego --alt-load model/partial-divider_salad/2023-07-24_23-39-58/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-24_23-39-58/ppo_ego,model/partial-divider_salad/2023-07-24_23-39-58/ppo_partner1
2023-07-24_23-43-37,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-24_23-43-37/ppo_ego --alt-load model/partial-divider_salad/2023-07-24_23-43-37/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-24_23-43-37/ppo_ego,model/partial-divider_salad/2023-07-24_23-43-37/ppo_partner1
2023-07-24_23-44-43,partial-divider_salad,FAILURE,True,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-24_23-46-43,partial-divider_salad,FAILURE,True,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-48-06,partial-divider_salad,FAILURE,True,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-48-12,partial-divider_salad,FAILURE,True,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-48-19,partial-divider_salad,FAILURE,True,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-50-19,partial-divider_salad,FAILURE,"too many indices for array: array is 0-dimensional, but 1 were indexed","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-53-20,partial-divider_salad,FAILURE,"too many indices for array: array is 0-dimensional, but 1 were indexed","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,10,,
2023-07-24_23-56-02,partial-divider_salad,FAILURE,"too many indices for array: array is 0-dimensional, but 1 were indexed","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-25_02-26-13,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-25_02-26-13/ppo_ego --alt-load model/partial-divider_salad/2023-07-25_02-26-13/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-25_02-26-13/ppo_ego,model/partial-divider_salad/2023-07-25_02-26-13/ppo_partner1
2023-07-25_02-28-30,partial-divider_salad,FAILURE,"Expected 4-dimensional input for 4-dimensional weight [64, 5, 3, 3], but got 3-dimensional input of size [5, 7, 7] instead","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-25_02-29-44,partial-divider_salad,FAILURE,"Expected 4-dimensional input for 4-dimensional weight [64, 5, 3, 3], but got 3-dimensional input of size [5, 7, 7] instead","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-25_02-34-11,partial-divider_salad,FAILURE,"Expected 4-dimensional input for 4-dimensional weight [64, 1, 3, 3], but got 5-dimensional input of size [1, 1, 5, 7, 7] instead","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-25_02-34-52,partial-divider_salad,FAILURE,"Expected 4-dimensional input for 4-dimensional weight [64, 1, 3, 3], but got 5-dimensional input of size [1, 1, 5, 7, 7] instead","python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load None --alt-load None",2,500,1,,
2023-07-25_02-35-55,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-25_02-35-55/ppo_ego --alt-load model/partial-divider_salad/2023-07-25_02-35-55/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-25_02-35-55/ppo_ego,model/partial-divider_salad/2023-07-25_02-35-55/ppo_partner1
2023-07-25_02-44-54,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-25_02-44-54/ppo_ego --alt-load model/partial-divider_salad/2023-07-25_02-44-54/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-25_02-44-54/ppo_ego,model/partial-divider_salad/2023-07-25_02-44-54/ppo_partner1
2023-07-25_02-45-24,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-25_02-45-24/ppo_ego --alt-load model/partial-divider_salad/2023-07-25_02-45-24/ppo_partner1",2,500,1,model/partial-divider_salad/2023-07-25_02-45-24/ppo_ego,model/partial-divider_salad/2023-07-25_02-45-24/ppo_partner1
2023-07-25_03-14-43,partial-divider_salad,SUCCESS,,"python3 tester.py --env-config '{""level"": ""partial-divider_salad"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/partial-divider_salad/2023-07-25_03-14-43/ppo_ego --alt-load model/partial-divider_salad/2023-07-25_03-14-43/ppo_partner1",2,500,50000,model/partial-divider_salad/2023-07-25_03-14-43/ppo_ego,model/partial-divider_salad/2023-07-25_03-14-43/ppo_partner1
2023-07-25_03-38-01,open-divider_tomato,SUCCESS,,"python3 tester.py --env-config '{""level"": ""open-divider_tomato"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/open-divider_tomato/2023-07-25_03-38-01/ppo_ego --alt-load model/open-divider_tomato/2023-07-25_03-38-01/ppo_partner1",2,500,10000,model/open-divider_tomato/2023-07-25_03-38-01/ppo_ego,model/open-divider_tomato/2023-07-25_03-38-01/ppo_partner1
2023-07-25_03-48-44,open-divider_tomato,SUCCESS,,"python3 tester.py --env-config '{""level"": ""open-divider_tomato"", ""num_agents"": 2, ""max_num_timesteps"": 500}' --ego-load model/open-divider_tomato/2023-07-25_03-48-44/ppo_ego --alt-load model/open-divider_tomato/2023-07-25_03-48-44/ppo_partner1",2,500,100,model/open-divider_tomato/2023-07-25_03-48-44/ppo_ego,model/open-divider_tomato/2023-07-25_03-48-44/ppo_partner1
